Intent Name,Total Conversations,Automation Conversation Count,Automation Rate,Meaningful Drop off Count,Meaningful Drop off Rate,Not Understood Drop off Count,Not Understood Drop off Rate,Planned Escalation Count,Planned Escalation Rate,Reopen + escalation (other) Count,Reopen + escalation (other) Rate,Reopen + escalation (thank you) Count,Reopen + escalation (thank you) Rate,Failed Escalation Count,Failed Escalation Rate,Not Resolved Count,Not Resolved Rate,Informed + No Status Count,Informed + No Status Rate,Initial Failed Escalation to Agent Escalation Count,Initial Failed Escalation to Agent Escalation Rate,Others Count,Other Rate
Cancellations & Refunds,"3,769",382,10.14%, 793 ,21.04%, 4 ,0.11%," 2,393 ",63.49%, 121 ,3.21%, 3 ,0.08%, 2 ,0.05%, 68 ,1.80%, 2 ,0.05%, 1 ,0.03%, 0 ,0.00%
Hello,"3,268",284,8.69%, 337 ,10.31%, 250 ,7.65%," 2,174 ",66.52%, 145 ,4.44%, 3 ,0.09%, 16 ,0.49%, 55 ,1.68%, 3 ,0.09%, 1 ,0.03%, 0 ,0.00%
No Intent,"3,175",0,0.00%, 10 ,0.31%," 1,171 ",36.88%," 1,511 ",47.59%, 470 ,14.80%, 0 ,0.00%, 11 ,0.35%, 0 ,0.00%, 0 ,0.00%, 2 ,0.06%, 0 ,0.00%
Pickup and drop-off information,"1,772",475,26.81%, 420 ,23.70%, 6 ,0.34%, 756 ,42.66%, 24 ,1.35%, 0 ,0.00%, 3 ,0.17%, 87 ,4.91%, 1 ,0.06%, 0 ,0.00%, 0 ,0.00%
Rescheduling,"1,547",247,15.97%, 189 ,12.22%, 2 ,0.13%," 1,046 ",67.61%, 30 ,1.94%, 2 ,0.13%, 1 ,0.06%, 29 ,1.87%, 0 ,0.00%, 1 ,0.06%, 0 ,0.00%
Thank you/positive feedback/bye,"1,405",0,0.00%, 0 ,0.00%, 0 ,0.00%, 87 ,6.19%, 0 ,0.00%, 766 ,54.52%, 14 ,1.00%, 0 ,0.00%, 535 ,38.08%, 3 ,0.21%, 0 ,0.00%
Meeting point,"1,251",163,13.03%, 439 ,35.09%, 6 ,0.48%, 534 ,42.69%, 19 ,1.52%, 0 ,0.00%, 2 ,0.16%, 87 ,6.95%, 1 ,0.08%, 0 ,0.00%, 0 ,0.00%
Payments,906,45,4.97%, 174 ,19.21%, 4 ,0.44%, 616 ,67.99%, 28 ,3.09%, 0 ,0.00%, 3 ,0.33%, 36 ,3.97%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
Voucher lost or not received,851,76,8.93%, 130 ,15.28%, 5 ,0.59%, 568 ,66.75%, 39 ,4.58%, 2 ,0.24%, 2 ,0.24%, 29 ,3.41%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
I have a booking,766,83,10.84%, 136 ,17.75%, 5 ,0.65%, 493 ,64.36%, 37 ,4.83%, 0 ,0.00%, 1 ,0.13%, 11 ,1.44%, 0 ,0.00%, 0 ,0.00%, 0 ,0.00%
